network_size,seed,strategy,task,topology,performance
50,42,random,classification,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,random,classification,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 2.12}"
50,42,random,regression,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,random,regression,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 2.12}"
50,42,random,clustering,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,random,clustering,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 2.12}"
50,42,centrality_based,classification,small_world,"{'input_nodes': [1, 45, 11, 3, 36], 'output_nodes': [20, 30, 10, 40, 34], 'avg_path_length': 2.92}"
50,42,centrality_based,classification,modular,"{'input_nodes': [30, 2, 4, 18, 44], 'output_nodes': [46, 1, 0, 34, 5], 'avg_path_length': 1.72}"
50,42,centrality_based,regression,small_world,"{'input_nodes': [1, 45, 11, 3, 36], 'output_nodes': [20, 30, 10, 40, 34], 'avg_path_length': 2.92}"
50,42,centrality_based,regression,modular,"{'input_nodes': [30, 2, 4, 18, 44], 'output_nodes': [46, 1, 0, 34, 5], 'avg_path_length': 1.72}"
50,42,centrality_based,clustering,small_world,"{'input_nodes': [1, 45, 11, 3, 36], 'output_nodes': [20, 30, 10, 40, 34], 'avg_path_length': 2.92}"
50,42,centrality_based,clustering,modular,"{'input_nodes': [30, 2, 4, 18, 44], 'output_nodes': [46, 1, 0, 34, 5], 'avg_path_length': 1.72}"
50,42,distance_based,classification,small_world,"{'input_nodes': [7, 5, 6, 8, 9], 'output_nodes': [37, 35, 39, 38, 33], 'avg_path_length': 5.64}"
50,42,distance_based,classification,modular,"{'input_nodes': [8, 47, 2, 30, 43], 'output_nodes': [13, 16, 20, 42, 12], 'avg_path_length': 2.56}"
50,42,distance_based,regression,small_world,"{'input_nodes': [7, 5, 6, 8, 9], 'output_nodes': [37, 35, 39, 38, 33], 'avg_path_length': 5.64}"
50,42,distance_based,regression,modular,"{'input_nodes': [8, 47, 2, 30, 43], 'output_nodes': [13, 16, 20, 42, 12], 'avg_path_length': 2.56}"
50,42,distance_based,clustering,small_world,"{'input_nodes': [7, 5, 6, 8, 9], 'output_nodes': [37, 35, 39, 38, 33], 'avg_path_length': 5.64}"
50,42,distance_based,clustering,modular,"{'input_nodes': [8, 47, 2, 30, 43], 'output_nodes': [13, 16, 20, 42, 12], 'avg_path_length': 2.56}"
50,42,module_based,classification,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,module_based,classification,modular,"{'input_nodes': [10, 9, 0, 8, 5], 'output_nodes': [48, 49], 'avg_path_length': 2.4}"
50,42,module_based,regression,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,module_based,regression,modular,"{'input_nodes': [10, 9, 0, 8, 5], 'output_nodes': [48, 49], 'avg_path_length': 2.4}"
50,42,module_based,clustering,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,module_based,clustering,modular,"{'input_nodes': [10, 9, 0, 8, 5], 'output_nodes': [48, 49], 'avg_path_length': 2.4}"
50,123,random,classification,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,random,classification,modular,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 2.12}"
50,123,random,regression,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,random,regression,modular,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 2.12}"
50,123,random,clustering,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,random,clustering,modular,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 2.12}"
50,123,centrality_based,classification,small_world,"{'input_nodes': [20, 46, 22, 18, 37], 'output_nodes': [0, 19, 16, 5, 29], 'avg_path_length': 2.56}"
50,123,centrality_based,classification,modular,"{'input_nodes': [43, 38, 44, 15, 45], 'output_nodes': [20, 29, 35, 33, 34], 'avg_path_length': 1.84}"
50,123,centrality_based,regression,small_world,"{'input_nodes': [20, 46, 22, 18, 37], 'output_nodes': [0, 19, 16, 5, 29], 'avg_path_length': 2.56}"
50,123,centrality_based,regression,modular,"{'input_nodes': [43, 38, 44, 15, 45], 'output_nodes': [20, 29, 35, 33, 34], 'avg_path_length': 1.84}"
50,123,centrality_based,clustering,small_world,"{'input_nodes': [20, 46, 22, 18, 37], 'output_nodes': [0, 19, 16, 5, 29], 'avg_path_length': 2.56}"
50,123,centrality_based,clustering,modular,"{'input_nodes': [43, 38, 44, 15, 45], 'output_nodes': [20, 29, 35, 33, 34], 'avg_path_length': 1.84}"
50,123,distance_based,classification,small_world,"{'input_nodes': [1, 49, 2, 3, 47], 'output_nodes': [10, 8, 9, 11, 12], 'avg_path_length': 5.24}"
50,123,distance_based,classification,modular,"{'input_nodes': [0, 20, 2, 3, 27], 'output_nodes': [13, 15, 1, 14, 38], 'avg_path_length': 2.72}"
50,123,distance_based,regression,small_world,"{'input_nodes': [1, 49, 2, 3, 47], 'output_nodes': [10, 8, 9, 11, 12], 'avg_path_length': 5.24}"
50,123,distance_based,regression,modular,"{'input_nodes': [0, 20, 2, 3, 27], 'output_nodes': [13, 15, 1, 14, 38], 'avg_path_length': 2.72}"
50,123,distance_based,clustering,small_world,"{'input_nodes': [1, 49, 2, 3, 47], 'output_nodes': [10, 8, 9, 11, 12], 'avg_path_length': 5.24}"
50,123,distance_based,clustering,modular,"{'input_nodes': [0, 20, 2, 3, 27], 'output_nodes': [13, 15, 1, 14, 38], 'avg_path_length': 2.72}"
50,123,module_based,classification,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,module_based,classification,modular,"{'input_nodes': [5, 0, 4, 9, 8], 'output_nodes': [48, 49], 'avg_path_length': 2.6}"
50,123,module_based,regression,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,module_based,regression,modular,"{'input_nodes': [5, 0, 4, 9, 8], 'output_nodes': [48, 49], 'avg_path_length': 2.6}"
50,123,module_based,clustering,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,module_based,clustering,modular,"{'input_nodes': [5, 0, 4, 9, 8], 'output_nodes': [48, 49], 'avg_path_length': 2.6}"
50,456,random,classification,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,random,classification,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 2.32}"
50,456,random,regression,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,random,regression,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 2.32}"
50,456,random,clustering,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,random,clustering,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 2.32}"
50,456,centrality_based,classification,small_world,"{'input_nodes': [44, 15, 49, 4, 31], 'output_nodes': [34, 35, 27, 48, 1], 'avg_path_length': 2.72}"
50,456,centrality_based,classification,modular,"{'input_nodes': [32, 16, 5, 2, 9], 'output_nodes': [22, 47, 43, 15, 45], 'avg_path_length': 1.88}"
50,456,centrality_based,regression,small_world,"{'input_nodes': [44, 15, 49, 4, 31], 'output_nodes': [34, 35, 27, 48, 1], 'avg_path_length': 2.72}"
50,456,centrality_based,regression,modular,"{'input_nodes': [32, 16, 5, 2, 9], 'output_nodes': [22, 47, 43, 15, 45], 'avg_path_length': 1.88}"
50,456,centrality_based,clustering,small_world,"{'input_nodes': [44, 15, 49, 4, 31], 'output_nodes': [34, 35, 27, 48, 1], 'avg_path_length': 2.72}"
50,456,centrality_based,clustering,modular,"{'input_nodes': [32, 16, 5, 2, 9], 'output_nodes': [22, 47, 43, 15, 45], 'avg_path_length': 1.88}"
50,456,distance_based,classification,small_world,"{'input_nodes': [9, 11, 7, 8, 10], 'output_nodes': [38, 37, 39, 40, 36], 'avg_path_length': 7.8}"
50,456,distance_based,classification,modular,"{'input_nodes': [1, 0, 4, 11, 17], 'output_nodes': [31, 29, 15, 24, 28], 'avg_path_length': 2.48}"
50,456,distance_based,regression,small_world,"{'input_nodes': [9, 11, 7, 8, 10], 'output_nodes': [38, 37, 39, 40, 36], 'avg_path_length': 7.8}"
50,456,distance_based,regression,modular,"{'input_nodes': [1, 0, 4, 11, 17], 'output_nodes': [31, 29, 15, 24, 28], 'avg_path_length': 2.48}"
50,456,distance_based,clustering,small_world,"{'input_nodes': [9, 11, 7, 8, 10], 'output_nodes': [38, 37, 39, 40, 36], 'avg_path_length': 7.8}"
50,456,distance_based,clustering,modular,"{'input_nodes': [1, 0, 4, 11, 17], 'output_nodes': [31, 29, 15, 24, 28], 'avg_path_length': 2.48}"
50,456,module_based,classification,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,module_based,classification,modular,"{'input_nodes': [0, 2, 1, 3, 6], 'output_nodes': [49, 48], 'avg_path_length': 2.6}"
50,456,module_based,regression,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,module_based,regression,modular,"{'input_nodes': [0, 2, 1, 3, 6], 'output_nodes': [49, 48], 'avg_path_length': 2.6}"
50,456,module_based,clustering,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,module_based,clustering,modular,"{'input_nodes': [0, 2, 1, 3, 6], 'output_nodes': [49, 48], 'avg_path_length': 2.6}"
100,42,random,classification,small_world,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 4.68}"
100,42,random,classification,modular,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 1.8}"
100,42,random,regression,small_world,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 4.68}"
100,42,random,regression,modular,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 1.8}"
100,42,random,clustering,small_world,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 4.68}"
100,42,random,clustering,modular,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 1.8}"
100,42,centrality_based,classification,small_world,"{'input_nodes': [41, 83, 8, 51, 6], 'output_nodes': [49, 25, 11, 66, 64], 'avg_path_length': 3.24}"
100,42,centrality_based,classification,modular,"{'input_nodes': [20, 76, 86, 87, 92], 'output_nodes': [26, 52, 72, 83, 7], 'avg_path_length': 1.76}"
100,42,centrality_based,regression,small_world,"{'input_nodes': [41, 83, 8, 51, 6], 'output_nodes': [49, 25, 11, 66, 64], 'avg_path_length': 3.24}"
100,42,centrality_based,regression,modular,"{'input_nodes': [20, 76, 86, 87, 92], 'output_nodes': [26, 52, 72, 83, 7], 'avg_path_length': 1.76}"
100,42,centrality_based,clustering,small_world,"{'input_nodes': [41, 83, 8, 51, 6], 'output_nodes': [49, 25, 11, 66, 64], 'avg_path_length': 3.24}"
100,42,centrality_based,clustering,modular,"{'input_nodes': [20, 76, 86, 87, 92], 'output_nodes': [26, 52, 72, 83, 7], 'avg_path_length': 1.76}"
100,42,distance_based,classification,small_world,"{'input_nodes': [20, 19, 21, 22, 18], 'output_nodes': [77, 78, 79, 76, 75], 'avg_path_length': 8.64}"
100,42,distance_based,classification,modular,"{'input_nodes': [0, 58, 98, 41, 72], 'output_nodes': [30, 37, 28, 80, 43], 'avg_path_length': 2.08}"
100,42,distance_based,regression,small_world,"{'input_nodes': [20, 19, 21, 22, 18], 'output_nodes': [77, 78, 79, 76, 75], 'avg_path_length': 8.64}"
100,42,distance_based,regression,modular,"{'input_nodes': [0, 58, 98, 41, 72], 'output_nodes': [30, 37, 28, 80, 43], 'avg_path_length': 2.08}"
100,42,distance_based,clustering,small_world,"{'input_nodes': [20, 19, 21, 22, 18], 'output_nodes': [77, 78, 79, 76, 75], 'avg_path_length': 8.64}"
100,42,distance_based,clustering,modular,"{'input_nodes': [0, 58, 98, 41, 72], 'output_nodes': [30, 37, 28, 80, 43], 'avg_path_length': 2.08}"
100,42,module_based,classification,small_world,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 4.68}"
100,42,module_based,classification,modular,"{'input_nodes': [8, 16, 0, 23, 11], 'output_nodes': [88, 85, 80, 82, 92], 'avg_path_length': 2.04}"
100,42,module_based,regression,small_world,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 4.68}"
100,42,module_based,regression,modular,"{'input_nodes': [8, 16, 0, 23, 11], 'output_nodes': [88, 85, 80, 82, 92], 'avg_path_length': 2.04}"
100,42,module_based,clustering,small_world,"{'input_nodes': [83, 53, 70, 45, 44], 'output_nodes': [39, 22, 80, 10, 0], 'avg_path_length': 4.68}"
100,42,module_based,clustering,modular,"{'input_nodes': [8, 16, 0, 23, 11], 'output_nodes': [88, 85, 80, 82, 92], 'avg_path_length': 2.04}"
100,123,random,classification,small_world,"{'input_nodes': [8, 70, 82, 28, 63], 'output_nodes': [0, 5, 50, 81, 4], 'avg_path_length': 4.88}"
100,123,random,classification,modular,"{'input_nodes': [8, 70, 82, 28, 63], 'output_nodes': [0, 5, 50, 81, 4], 'avg_path_length': 1.92}"
100,123,random,regression,small_world,"{'input_nodes': [8, 70, 82, 28, 63], 'output_nodes': [0, 5, 50, 81, 4], 'avg_path_length': 4.88}"
100,123,random,regression,modular,"{'input_nodes': [8, 70, 82, 28, 63], 'output_nodes': [0, 5, 50, 81, 4], 'avg_path_length': 1.92}"
100,123,random,clustering,small_world,"{'input_nodes': [8, 70, 82, 28, 63], 'output_nodes': [0, 5, 50, 81, 4], 'avg_path_length': 4.88}"
100,123,random,clustering,modular,"{'input_nodes': [8, 70, 82, 28, 63], 'output_nodes': [0, 5, 50, 81, 4], 'avg_path_length': 1.92}"
100,123,centrality_based,classification,small_world,"{'input_nodes': [17, 1, 80, 64, 66], 'output_nodes': [43, 62, 25, 55, 45], 'avg_path_length': 3.36}"
100,123,centrality_based,classification,modular,"{'input_nodes': [66, 93, 91, 85, 67], 'output_nodes': [50, 84, 79, 38, 81], 'avg_path_length': 1.6}"
100,123,centrality_based,regression,small_world,"{'input_nodes': [17, 1, 80, 64, 66], 'output_nodes': [43, 62, 25, 55, 45], 'avg_path_length': 3.36}"
100,123,centrality_based,regression,modular,"{'input_nodes': [66, 93, 91, 85, 67], 'output_nodes': [50, 84, 79, 38, 81], 'avg_path_length': 1.6}"
100,123,centrality_based,clustering,small_world,"{'input_nodes': [17, 1, 80, 64, 66], 'output_nodes': [43, 62, 25, 55, 45], 'avg_path_length': 3.36}"
100,123,centrality_based,clustering,modular,"{'input_nodes': [66, 93, 91, 85, 67], 'output_nodes': [50, 84, 79, 38, 81], 'avg_path_length': 1.6}"
100,123,distance_based,classification,small_world,"{'input_nodes': [7, 5, 6, 8, 9], 'output_nodes': [28, 29, 27, 26, 30], 'avg_path_length': 7.88}"
100,123,distance_based,classification,modular,"{'input_nodes': [0, 42, 35, 61, 70], 'output_nodes': [1, 80, 72, 23, 19], 'avg_path_length': 2.24}"
